Hidden Layers,Iteration,Pen Results,Car Results
0,1,0.0,0.64
0,2,0.0,0.64
0,3,0.0,0.64
0,4,0.0,0.64
0,5,0.0,0.64
5,1,0.842481417953116,0.98
5,2,0.8524871355060034,0.98
5,3,0.8416237850200115,0.98
5,4,0.8224699828473413,0.98
5,5,0.8473413379073756,0.98
10,1,0.8947970268724986,0.99
10,2,0.8833619210977701,0.985
10,3,0.8919382504288165,0.98
10,4,0.8825042881646655,0.975
10,5,0.8785020011435106,0.99
15,1,0.9079473985134362,0.99
15,2,0.9082332761578045,0.985
15,3,0.907661520869068,0.985
15,4,0.9019439679817038,0.985
15,5,0.8842195540308748,0.985
20,1,0.9073756432246999,0.985
20,2,0.902229845626072,0.985
20,3,0.9108061749571184,0.98
20,4,0.9030874785591767,0.99
20,5,0.9096626643796455,0.985
25,1,0.9045168667810177,0.985
25,2,0.902229845626072,0.985
25,3,0.9036592338479131,0.985
25,4,0.8893653516295026,0.99
25,5,0.9048027444253859,0.99
30,1,0.900800457404231,0.985
30,2,0.8999428244711264,0.98
30,3,0.9005145797598628,0.985
30,4,0.9053744997141223,0.99
30,5,0.8985134362492853,0.985
35,1,0.9056603773584906,0.975
35,2,0.9053744997141223,0.99
35,3,0.9065180102915952,0.985
35,4,0.9065180102915952,0.98
35,5,0.8879359634076616,0.98
40,1,0.9042309891366496,0.985
40,2,0.9033733562035449,0.99
40,3,0.902229845626072,0.99
40,4,0.9005145797598628,0.985
40,5,0.9042309891366496,0.985
